,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__bootstrap,param_randomforestclassifier__max_depth,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__min_samples_split,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
49,32.14837463696798,0.2676317290522338,1.1083099842071533,0.02325773349688964,True,30,5,2,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}",0.38037928519328956,0.3556214113724764,0.36220472440944884,0.36606847365840495,0.010470100213653901,69
50,16.152238925298054,0.24206913816009326,0.6904502709706625,0.0025514403450446355,True,30,5,5,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}",0.37602777270235704,0.3575791227096058,0.3624406284252832,0.36534917461241534,0.007807385491988594,72
51,31.600240071614582,0.2689993515239564,1.128494660059611,0.004065306992621746,True,30,5,5,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}",0.38037928519328956,0.3556214113724764,0.36220472440944884,0.36606847365840495,0.010470100213653901,69
52,16.044684648513794,0.41427494972206386,0.6763532956441244,0.007902086309193023,True,30,5,10,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}",0.37602777270235704,0.3575791227096058,0.3624406284252832,0.36534917461241534,0.007807385491988594,72
53,31.76823552449544,0.5488524149308596,1.126757303873698,0.010159506758938053,True,30,5,10,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}",0.38037928519328956,0.3556214113724764,0.36220472440944884,0.36606847365840495,0.010470100213653901,69
54,1403.9203300476074,226.42423067038132,1.0721135934193928,0.026753208795070618,False,,1,2,100,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}",0.4454585602826439,0.4423536439665472,0.4331360946745562,0.4403160996412491,0.005232875552618709,7
55,2502.4351807435355,270.8105631791543,2.0100329717000327,0.07464260110190998,False,,1,2,200,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}",0.4478753124540509,0.44361575178997614,0.43731519810762864,0.4429354207838852,0.004337905904985698,5
56,768.0513935089111,291.9522247281141,1.0085161526997883,0.042366964734008,False,,1,5,100,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}",0.45161290322580644,0.437765538945712,0.4420401854714065,0.4438062092143083,0.005789444663740984,3
57,2210.8898791472116,423.4759042244961,1.8458116054534912,0.013591129437398647,False,,1,5,200,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}",0.4529530305379011,0.4377952755905512,0.44128553770086526,0.4440112812764392,0.006481339485570062,1
58,646.0723240375519,422.45238431246645,0.9699982007344564,0.03288791642920668,False,,1,10,100,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}",0.45664739884393063,0.434597776324395,0.43870967741935485,0.44331828419589353,0.009573432182488911,4
