,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__gamma,param_xgbclassifier__learning_rate,param_xgbclassifier__max_depth,param_xgbclassifier__min_child_weight,param_xgbclassifier__n_estimators,param_xgbclassifier__reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
38,0.7786293824513754,0.004543178164724314,0.20398441950480142,0.0032610652606648457,0.0,0.1,3,1,200,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 1}",0.4523339907955293,0.43089840470193114,0.44492013831714144,0.44271751127153397,0.008888560521649746,162
39,0.7844554583231608,0.01074006730661003,0.1985806624094645,0.006422952490206238,0.0,0.1,3,1,200,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 10}",0.448372707748224,0.4303030303030303,0.4373856643938134,0.43868713414835586,0.00743409615150927,189
40,0.5638782978057861,0.016426786157548865,0.15064318974812826,0.0033384688272670585,0.0,0.1,3,3,100,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 1}",0.4159337816864977,0.3920042455333451,0.39776692254012563,0.4019016499199895,0.010197308566662934,205
41,0.5534517765045166,0.012271645301298094,0.14744957288106283,0.004355373205100419,0.0,0.1,3,3,100,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 10}",0.4135898769284105,0.39213602550478216,0.3981075871736464,0.40127782986894633,0.009040824604245889,211
42,0.7736686070760092,0.014954407223860952,0.20567766825358072,0.004227219585566518,0.0,0.1,3,3,200,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 1}",0.45109321058688145,0.43236877523553163,0.4439306358381503,0.4424642072201878,0.007714226229307525,166
43,0.7724023660024008,0.01169320514265995,0.20128528277079263,0.006368570037068498,0.0,0.1,3,3,200,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 10}",0.45150666886217683,0.43227762803234504,0.43575233022636484,0.4398455423736289,0.008366791183829759,186
44,0.5690845648447672,0.007708951834088342,0.15163429578145346,0.001641652490138436,0.0,0.1,3,5,100,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 5, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 1}",0.4123961218836565,0.3966854724964739,0.3972722503934254,0.4021179482578519,0.0072717130896245725,202
45,0.5609405835469564,0.006264452959468777,0.14789636929829916,0.0034825694059111107,0.0,0.1,3,5,100,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 5, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 10}",0.41172389871661463,0.39298369950389794,0.3983896376684754,0.401032411962996,0.007875572301401802,213
46,0.7839083671569824,0.013049418612098925,0.19942204157511392,0.003905550248902826,0.0,0.1,3,5,200,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 5, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 1}",0.44877082989605677,0.433288409703504,0.4422409519087754,0.44143339716944535,0.006346413278246331,175
47,0.7892474333445231,0.004746346406773505,0.20258418718973795,0.004697879252947534,0.0,0.1,3,5,200,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 5, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 10}",0.4516979887899769,0.4313196085048937,0.43852936283480287,0.4405156533765578,0.008437164150276477,180
